RESPOSTAS CORRETAS,RESPOSTAS ERRADAS
princípio Limite cuida do dever estatal de editar e efetivar normas jurídicas que instituam padrões máximos de poluição a fim de mantê-lo dentro de bons níveis para não afetar o equilíbrio ambiental e a saúde pública,De acordo com o Estatuto da Cidade (Lei no 10257 de 10 de julho de 2001) a elaboração do estudo prévio de impacto ambiental (EIA) não substitui a elaboração e a aprovação de estudo prévio de impacto de vizinhança (EIV) requeridas nos termos da legislação ambiental
Princípio equidade ligado ao do desenvolvimento sustentável a chamada equidade intergeracional é a obrigação das presentes gerações de legar às gerações futuras o meio ambiente equilibrado,De acordo com o estabelecido na Lei nº 9605 de 12 de fevereiro de 1998 (crimes contra o meio ambiente) constitui crime causar poluição de qualquer natureza em níveis tais que resultem ou possam resultar em danos à saúde humana ou que provoquem a mortandade de animais ou a destruição significativa da flora Este tipo penal admite apenas a forma dolosa
Este princípio usuário-pagador versa que pessoas que usam recursos naturais devem pagar pelo uso mesmo que não haja poluição (ex uso racional da água) É mais abrangente que o Princípio do Poluidor-pagador a fim de demonstrar a economicidade dos recursos naturais racionalizando o seu uso e angariando recursos em prol do equilíbrio ambiental,A realização de obras de engenharia destinadas ao uso comercial deverá ser precedida de estudo prévio de impacto ambiental em razão do princípio da precaução
Segundo o princípio da prevenção quando já se tem base científica para previsão dos impactos ambientais negativos decorrentes de determinada atividade lesiva ao meio ambiente devem ser impostas ao empreendedor algumas condições em sua atuação para mitigar ou impedir os prejuízos Dessa forma na aplicação desse princípio verifica-se UM RISCO CERTO CONHECIDO CONCRETO JÁ SE SABENDO A EXTENSÃO E A NATUREZA DOS DANOS AMBIENTAIS ou seja o risco é certo e o perigo é concreto,De acordo com a Constituição Federal de 1988 o meio ambiente ecologicamente equilibrado é essencial à sadia qualidade de vida por isso consiste em bem de uso especial do povo
PRINCÍPIO DA PREVENÇÃO Por este princípio implicitamente consagrado no artigo 225 da CRFB e presente em resoluções do CONAMA já se tem base científica para prever os danos ambientais decorrentes de determinada atividade lesiva ao meio ambiente devendo-se impor ao empreendedor condicionantes no licenciamento ambiental para mitigar ou elidir os prejuízos Ele se volta a atividades de vasto conhecimento humano (risco certo conhecido ou concreto) em que já se definiram a extensão e a natureza dos danos ambientais trabalhando com boa margem de segurança,O princípio do poluidor pagador estabelece que quem utiliza o recurso ambiental deve suportar os custos advindos dessa prática
Uma empresa solicitou licença prévia para implementação de sua atividade industrial que utiliza determinados reagentes químicos e que pode causar ameaças de danos graves ou irreversíveis ao meio ambiente A autoridade administrativa entendeu que diante da ausência de certeza científica absoluta não concederia a licença O princípio que fundamentou a negativa de licença é o Precaução,A obrigação de o predador indenizar os danos causados por ele ao meio ambiente está amparada no princípio do consumidor pagador
O princípio da precaução antecede a prevenção a questão principal não é apenas evitar o dano ambiental mas sim evitar qualquer risco de dano ao meio ambiente Ou seja se há a noção de que determinada atividade seja passível de causar danos ao meio ambiente o princípio da precaução entrará em cena impedindo assim o desenvolvimento da citada atividade,Por disciplinar situações que podem ocorrer antes do dano o princípio da prevenção não inclui a restauração de recursos ambientais
Princípio da precaução aplica-se quando exista ameaça de sensível redução ou perda de diversidade biológica a falta de plena certeza científica não deve ser usada como razão para postergar medidas para evitar ou minimizar essa ameaça,A obrigação do poluidor de indenizar ou reparar os danos causados ao meio ambiente e a terceiros afetados por sua atividade depende da existência de culpa Essa obrigação decorre do princípio do usuário/poluidor-pagador
O princípio do usuário pagador refere-se a Determinado dispositivo da lei que institui o Sistema Nacional das Unidades de Conservação densifica o princípio este a significar um mecanismo de assunção de responsabilidade social partilhada insista-se pelos custos ambientais derivados da atividade econômica Nessa ampla moldura é de se inferir que o fato de aqui e ali inexistir efetivo dano ambiental não significa isenção do empreendedor em partilhar os custos de medidas preventivas Isto porque uma das vertentes do princípio é a que impõe ao empreendedor o dever de também responder pelas medidas de prevenção de impactos ambientais que possam decorrer significativamente da implementação de sua empírica empreitada econômica,A aplicação do princípio do poluidor-pagador para fins de redução do impacto na água subterrânea pode ser efetivada por meio da exigência de realização de EIA bem como por instrumentos como tributos que limitem a utilização dos recursos naturais
O princípio do desenvolvimento sustentável visa a proteção ambiental constituirá parte integrante do processo de desenvolvimento e não pode ser considerada isoladamente deste assim como os Estados devem reduzir e eliminar os padrões insustentáveis de produção e consumo e promover políticas demográficas adequadas,
O Princípio 15 da Declaração do Rio sobre Meio Ambiente e Desenvolvimento prevê que quando houver perigo de dano grave ou irreversível a falta de certeza científica absoluta não deverá ser utilizada como razão para se adiar a adoção de medidas eficazes em função dos custos para impedir a degradação do meio ambiente Tal regra traduz em linhas gerais o que no âmbito do Direito Ambiental se denomina princípio da precaução,
Prevenção parte da certeza É aplicado nos casos em que os impactos ambientais já são conhecidos Trabalha com a certeza da ocorrência do dano,
Precaução situações controversas riscos incertos e potenciais A dúvida sempre deve militar em favor do meio ambiente É aplicado nos casos em que o conhecimento cientifico não pode oferecer respostas conclusivas sobre a inocuidade de determinados procedimentos Previsto expressamente no art 225 da CF e no art 1º da Lei de Biossegurança,
A elaboração do EIV não substitui a elaboração e a aprovação de estudo prévio de impacto ambiental (EIA) requeridas nos termos da legislação ambiental,
Todos têm direito ao meio ambiente ecologicamente equilibrado bem de uso comum do povo e essencial à sadia qualidade de vida impondo-se ao Poder Público e à coletividade o dever de defendê-lo e preservá- lo para as presentes e futuras gerações Para assegurar a efetividade desse direito incumbe ao Poder Público IV - exigir na forma da lei para instalação de obra ou atividade potencialmente causadora de significativa degradação do meio ambiente estudo prévio de impacto ambiental a que se dará publicidade,
Conforme ensinança da doutrina nacional especializada em direito ambiental pode-se afirmar que o princípio da precaução age em face do risco abstrato ao passo que o princípio da prevenção atua contra o risco concreto,
causar poluição de qualquer natureza em níveis tais que resultem ou possam resultar em danos à saúde humana ou que provoquem a mortandade de animais ou a destruição significativa da flora pena - reclusão de um a quatro anos e multa § 1º Se o crime é culposo Pena - detenção de seis meses a um ano e multa,
O princípio ambiental do poluidor-pagador prevê a obrigação do agente responsável pela degradação ambiental de recuperar e/ou indenizar os danos causados ao meio ambiente,
O princípio ambiental da prevenção não se confunde com o princípio ambiental da precaução O princípio da prevenção se aplica quando existem elementos seguros para afirmar que uma determinada atividade é perigosa sendo que têm por objetivo impedir a ocorrência de danos ao meio ambiente por meio da imposição de medidas acautelatórias antes da implantação de empreendimentos e atividades consideradas efetiva ou potencialmente poluidoras,
instrumentos implementadores do princípio da prevenção o estudo prévio de impacto ambiental o licenciamento ambiental o zoneamento o tombamento a ação civil pública a ação popular as restrições administrativas etc,
A realização de obras de engenharia destinadas ao uso comercial deverá ser precedida de estudo prévio de impacto ambiental em razão do princípio da prevenção,
Art 225 Todos têm direito ao meio ambiente ecologicamente equilibrado bem de uso comum do povo e essencial à sadia qualidade de vida impondo-se ao Poder Público e à coletividade o dever de defendê-lo e preservá- lo para as presentes e futuras gerações,
Na linha da harmonização entre a preservação do meio ambiente e o desenvolvimento econômico a Constituição Federal de 1988 estabelece a defesa do meio ambiente e permite tratamento diferenciado conforme o impacto ambiental dos produtos e serviços e de seus processos de elaboração e prestação,
O princípio do usuário pagador estabelece que quem utiliza o recurso ambiental deve suportar os custos advindos dessa prática,
A obrigação de o predador indenizar os danos causados por ele ao meio ambiente está amparada no princípio do poluidor pagador,
Na doutrina o principio do poluidor-pagador inclui prevenção e reparação mas o principio da prevenção não inclui reparação,
O princípio da prevenção ensina que o empreendimento deverá por possuir a certeza científica do dano (dos impactos ambientais) adotar todas as medidas necessárias à evitá-lo ou mitigar/reduzir seus efeitos (caso o dano ambiental inevitavelmente ocorra) E é aí que entra a "restauração dos recursos ambientais" Uma vez não evitado o dano o empreendimento deverá adotar todas as medidas para mitigar seus efeitos inclusive restaurando os recursos ambientais à sua condição original (se possível isso),
O princípio do Poluidor-pagador parte da premissa que não é justo que o empreendedor internalize os lucros e socialize os prejuízos ambientais Logo deverá o poluidor arcar com os custos sociais da degradação causada internalizando as externalidades negativas Com propriedade o exemplo genérico de concretização do Princípio do Poluidor-pagador é o dever ambiental de reparação ou compensação dos danos ambientais mesmo que a poluição esteja amparada em licença ou autorização ambiental,
O princípio do usuário-pagador não possui exatamente o mesmo conteúdo jurídico do Princípio do Poluidor-pagador É mais amplo Por ele aqueles que utilizarem recursos naturais principalmente com finalidades econômicas deverão pagar por sua utilização,
Não há direito de poluir daí ser o princípio do usuário-pagador e não poluidor pagador Aquele forte nos princípios da prevenção ou precaução deve realizar o EIA se a atividade desenvolvida for potencialmente poluidora,
A aplicação do princípio do usuário-pagador para fins de redução do impacto na água subterrânea pode ser efetivada por meio da exigência de realização de EIA bem como por instrumentos como tributos que limitem a utilização dos recursos naturais,
